Movie_Title,Rating,Vote_Count,Runtime,Genre
The Unholy Trinity,6.1,448,1h 35m,Adventure
Gladiator II,6.5,252K,2h 28m,Adventure
Dune: Part Two,8.5,642K,2h 46m,Adventure
Venom: The Last Dance,6.0,129K,1h 50m,Adventure
Twisters,6.5,175K,2h 2m,Adventure
Deadpool & Wolverine,7.5,507K,2h 8m,Adventure
Kraven the Hunter,5.5,63K,2h 7m,Adventure
Flow,7.9,84K,1h 25m,Adventure
Mufasa: The Lion King,6.6,71K,1h 58m,Adventure
Moana 2,6.6,109K,1h 40m,Adventure
Furiosa: A Mad Max Saga,7.5,291K,2h 28m,Adventure
Freaky Tales,6.2,7.2K,1h 47m,Adventure
Cells at Work!,6.7,776,1h 49m,Adventure
Sonic the Hedgehog 3,6.9,65K,1h 50m,Adventure
The Count of Monte-Cristo,7.6,37K,2h 58m,Adventure
Paddington in Peru,6.7,26K,1h 46m,Adventure
Borderlands,4.7,50K,1h 41m,Adventure
Transformers One,7.6,54K,1h 44m,Adventure
Godzilla x Kong: The New Empire,6.0,124K,1h 55m,Adventure
Ghostbusters: Frozen Empire,6.1,95K,1h 55m,Adventure
Inside Out 2,7.5,222K,1h 36m,Adventure
The Return,6.2,10K,1h 56m,Adventure
Despicable Me 4,6.2,68K,1h 34m,Adventure
Kingdom of the Planet of the Apes,6.8,155K,2h 25m,Adventure
Damsel,6.1,111K,1h 50m,Adventure
Bad Boys: Ride or Die,6.5,102K,1h 55m,Adventure
Red One,6.3,142K,2h 3m,Adventure
The Lord of the Rings: The War of the Rohirrim,6.3,33K,2h 14m,Adventure
Kung Fu Panda 4,6.3,70K,1h 34m,Adventure
Survive,4.6,3.1K,1h 30m,Adventure
Attack on Titan the Movie: The Last Attack,9.2,17K,2h 25m,Adventure
The Day the Earth Blew Up: A Looney Tunes Movie,6.9,5.4K,1h 31m,Adventure
Uglies,4.7,34K,1h 40m,Adventure
Harold and the Purple Crayon,5.7,8.8K,1h 30m,Adventure
Atlas,5.6,57K,1h 58m,Adventure
Spaceman,5.7,44K,1h 47m,Adventure
Monster Summer,5.7,4.1K,1h 37m,Adventure
The Garfield Movie,5.7,25K,1h 41m,Adventure
Solo Leveling: ReAwakening,8.8,14K,2h 1m,Adventure
Spellbound,5.5,7.9K,1h 49m,Adventure
Kalki 2898 AD,7.0,68K,3h,Adventure
Arthur the King,7.0,35K,1h 47m,Adventure
Sketch,8.2,70,1h 32m,Adventure
Wallace & Gromit: Vengeance Most Fowl,7.5,36K,1h 22m,Adventure
Rebel Moon - Part Two: The Scargiver,5.3,60K,2h 2m,Adventure
Sunlight,7.6,32,1h 36m,Adventure
Lost on a Mountain in Maine,6.1,1.5K,1h 38m,Adventure
My Penguin Friend,6.8,5.7K,1h 37m,Adventure
Family Pack,5.5,9.6K,1h 34m,Adventure
Orion and the Dark,6.3,18K,1h 33m,Adventure
No Way Up,4.6,11K,1h 30m,Adventure
The Goat Life,7.1,48K,2h 53m,Adventure
Crayon Shin-chan: Our Dinosaur Diary,6.6,603,1h 46m,Adventure
Return to Wickensburg,4.7,76,1h 28m,Adventure
Descendants: The Rise of Red,4.7,7.3K,1h 31m,Adventure
Unspeakable: Beyond the Wall of Sleep,4.8,113,1h 30m,Adventure
