Movie_Title,Rating,Vote_Count,Runtime,Genre
The Wild Robot,8.2,181K,1h 42m,Animation
Flow,7.9,84K,1h 25m,Animation
Mufasa: The Lion King,6.6,71K,1h 58m,Animation
Moana 2,6.6,109K,1h 40m,Animation
Paddington in Peru,6.7,26K,1h 46m,Animation
Transformers One,7.6,54K,1h 44m,Animation
Inside Out 2,7.5,222K,1h 36m,Animation
Despicable Me 4,6.2,68K,1h 34m,Animation
IF,6.4,60K,1h 44m,Animation
The Lord of the Rings: The War of the Rohirrim,6.3,33K,2h 14m,Animation
Kung Fu Panda 4,6.3,70K,1h 34m,Animation
Attack on Titan the Movie: The Last Attack,9.2,17K,2h 25m,Animation
The Day the Earth Blew Up: A Looney Tunes Movie,6.9,5.4K,1h 31m,Animation
Memoir of a Snail,7.8,19K,1h 35m,Animation
Harold and the Purple Crayon,5.7,8.8K,1h 30m,Animation
The Garfield Movie,5.7,25K,1h 41m,Animation
Solo Leveling: ReAwakening,8.8,14K,2h 1m,Animation
Spellbound,5.5,7.9K,1h 49m,Animation
Wallace & Gromit: Vengeance Most Fowl,7.5,36K,1h 22m,Animation
Spermageddon,5.6,1K,1h 20m,Animation
Piece by Piece,6.9,6K,1h 33m,Animation
Look Back,7.8,16K,58m,Animation
Dan Da Dan: First Encounter,8.2,2.9K,1h 23m,Animation
Watchmen: Chapter I,7.1,7K,1h 23m,Animation
Orion and the Dark,6.3,18K,1h 33m,Animation
Crayon Shin-chan: Our Dinosaur Diary,6.6,603,1h 46m,Animation
Watchmen: Chapter II,7.1,3.4K,1h 30m,Animation
The Remarkable Life of Ibelin,8.2,13K,1h 43m,Animation
Justice League: Crisis on Infinite Earths - Part One,6.2,8.8K,1h 33m,Animation
I Am What I Am 2,7.5,365,2h 14m,Animation
Dragonkeeper,5.7,1.8K,1h 38m,Animation
Justice League: Crisis on Infinite Earths - Part Three,6.1,4.8K,1h 34m,Animation
My Hero Academia: You're Next,7.0,2.6K,1h 50m,Animation
The Most Precious of Cargoes,7.1,1.5K,1h 21m,Animation
Haikyu!! The Dumpster Battle,7.7,6.5K,1h 25m,Animation
Doraemon the Movie: Nobita's Earth Symphony,6.6,1.6K,1h 55m,Animation
The Colors Within,7.1,1.1K,1h 41m,Animation
Overlord: The Sacred Kingdom,6.9,1.4K,2h 15m,Animation
That Christmas,6.8,17K,1h 31m,Animation
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.2,8.8K,1h 44m,Animation
Lesbian Space Princess,7.1,181,1h 27m,Animation
Hitpig,5.1,1.1K,1h 26m,Animation
Justice League: Crisis on Infinite Earths - Part Two,5.5,5.6K,1h 34m,Animation
Ultraman: Rising,6.9,6.6K,1h 57m,Animation
Night of the Zoopocalypse,6.1,913,1h 31m,Animation
White Snake: Afloat,6.9,562,2h 13m,Animation
Given 3: To the Sea,7.7,128,1h 20m,Animation
Boys Go to Jupiter,6.8,112,1h 30m,Animation
Frida,7.5,1.5K,1h 27m,Animation
Blue Lock: Episode Nagi,6.6,2.6K,1h 31m,Animation
Buffalo Kids,6.6,772,1h 33m,Animation
Megamind vs. The Doom Syndicate,2.5,5.7K,1h 23m,Animation
Mars,8.5,25,1h 24m,Animation
The Glassworker,7.2,1.9K,1h 38m,Animation
From Ground Zero,7.9,567,1h 52m,Animation
200% Wolf,5.9,1.3K,1h 38m,Animation
Detective Conan: The Million-Dollar Pentagram,6.7,1.6K,1h 51m,Animation
Dongeng Sang Kancil,6.6,220,1h 39m,Animation
Saving Bikini Bottom: The Sandy Cheeks Movie,3.7,4K,1h 22m,Animation
The Quintessential Quintuplets Specials 2,6.9,157,46m,Animation
Thelma the Unicorn,5.7,3K,1h 33m,Animation
Mononoke the Movie: The Phantom in the Rain,6.7,1.4K,1h 29m,Animation
Grand Theft Hamlet,6.9,2.2K,1h 29m,Animation
Re: Zero - Starting Life in Another World- Season 3 Episode 1 90-minute Special 'Theatrical Malice',8.7,1.3K,1h 30m,Animation
My Oni Girl,6.0,1.9K,1h 52m,Animation
My Freaky Family,6.1,424,1h 26m,Animation
Angelo dans la forêt mystérieuse,6.0,133,1h 21m,Animation
Rafadan Tayfa: Kapadokya,6.6,133,1h 24m,Animation
Dragon Ball Z Kai,8.6,87,1h 22m,Animation
10 Lives,5.9,2K,1h 28m,Animation
Johnny Puff: Secret Mission,4.9,463,1h 27m,Animation
The Tiger's Apprentice,5.7,2.2K,1h 24m,Animation
Woody Woodpecker Goes to Camp,4.5,2.7K,1h 40m,Animation
Limonov: The Ballad of Eddie,5.9,1.1K,2h 18m,Animation
The Night Before Christmas in Wonderland,6.3,527,1h 20m,Animation
Ryan's World the Movie: Titan Universe Adventure,1.8,728,1h 20m,Animation
Baki Hanma VS Kengan Ashura,5.7,2K,1h 2m,Animation
Rebellious,6.1,236,1h 34m,Animation
Noah's Ark,4.2,701,1h 36m,Animation
A Sloth Story,5.6,234,1h 30m,Animation
Super-Charlie,5.8,164,1h 20m,Animation
Hola Frida,7.1,41,1h 22m,Animation
Savages,6.8,390,1h 27m,Animation
Living Large,6.9,173,1h 20m,Animation
Dalia and the Red Book,5.9,148,1h 47m,Animation
No Time to Spy: A Loud House Movie,6.3,497,1h 21m,Animation
Mobile Suit Gundam SEED Freedom,6.6,980,2h 4m,Animation
(S)KiDS,8.4,144,1h 25m,Animation
Big City Greens the Movie: Spacecation,6.2,581,1h 23m,Animation
Ghost Cat Anzu,6.5,858,1h 37m,Animation
Panda Bear in Africa,5.5,373,1h 24m,Animation
Out of the Nest,6.5,126,1h 24m,Animation
Fureru,6.2,56,1h 47m,Animation
Diplodocus,6.3,196,1h 33m,Animation
Into the Mortal World,6.9,213,1h 58m,Animation
Peppa's Cinema Party,4.9,157,1h 5m,Animation
Gracie and Pedro: Pets to the Rescue,5.0,289,1h 27m,Animation
Storm Crashers,6.2,579,1h 28m,Animation
Sabbath Queen,7.9,70,1h 45m,Animation
"Ado SPECIAL LIVE ""Shinzou"" in Cinema",9.3,42,2h 20m,Animation
The Lost Tiger,7.9,52,1h 30m,Animation
Uma Musume: Pretty Derby - Beginning of a New Era,7.4,152,1h 48m,Animation
Monkey King: The Beginning,8.2,7,None,Animation
The Casagrandes Movie,5.6,692,1h 29m,Animation
Given the Movie: Hiiragi Mix,7.6,229,1h 10m,Animation
Life with Quincy 3,None,None,1h 13m,Animation
Niko: Beyond the Northern Lights,6.1,353,1h 26m,Animation
Inanimate Insanity II: The Movie,8.2,246,1h 46m,Animation
Isla Monstro,7.2,12,None,Animation
Terra Incognita 1901,5.5,64,1h 18m,Animation
Mariposas Negras,7.1,73,1h 23m,Animation
Boonie Bears: Time Twist,6.0,177,1h 45m,Animation
Little Emma,5.4,133,1h 46m,Animation
Appu,8.1,189,1h 32m,Animation
The Big Trip 3: Race Around the World,5.6,67,1h 25m,Animation
Where the Robots Grow,2.5,530,1h 28m,Animation
Norbert,6.7,16,1h 15m,Animation
Si Juki the Movie: Harta Pulau Monyet,6.1,131,1h 47m,Animation
"Maya, donne-moi un titre",6.3,63,1h 1m,Animation
"Die Heinzels: Neue Mützen, Neue Mission",6.4,105,1h 16m,Animation
Kizumonogatari: Koyomi Vamp,7.0,108,2h 24m,Animation
Exorcism Chronicles: The Beginning,6.3,128,1h 25m,Animation
Kid Santa,None,None,None,Animation
Elli and the Ghostly Ghost Train,5.1,109,1h 26m,Animation
Heartsping : Teenieping of Love,7.1,29,TV-Y,Animation
Shrek 5: The Contract - A Fan Made Film,7.4,22,1h 24m,Animation
My Redneck Neighbor: Chapter 2 - Let the Games Begin,5.8,10,55m,Animation
SuperKlaus,4.3,204,1h 28m,Animation
Maxxie LaWow: Drag Super-shero,8.7,67,1h 54m,Animation
Fox & Hare Save the Forest,5.9,217,1h 11m,Animation
Mochi-chon,8.2,10,None,Animation
The Proud Princess,6.5,137,1h 24m,Animation
Olivia & the Clouds,7.3,59,1h 21m,Animation
Bloody Escape: Bats out of Hell,5.4,58,1h 40m,Animation
Sanatorium Under the Sign of the Hourglass,5.4,134,1h 15m,Animation
The Storm,6.0,145,1h 42m,Animation
Jon Vardar protiv Galaksijata,8.2,77,1h 26m,Animation
Bocchi the Rock! Recap Part 1,7.5,197,1h 30m,Animation
Uma & Haggen: Mitos,7.4,56,1h 34m,Animation
Fuuto PI: Portrait of Kamen Rider Skull,7.3,50,1h 22m,Animation
Transformers Prime: Galavatron's Revenge,4.5,16,1h 44m,Animation
Trapezium,6.2,165,1h 35m,Animation
"Silex and the City, le film",4.9,54,1h 17m,Animation
Schirkoa: In Lies We Trust,5.6,166,1h 43m,Animation
Nintama Rantaro Dokutake Ninja-tai Saikyou no Gunshi,7.1,41,1h 30m,Animation
Woolina and the No Birds,8.2,51,1h 20m,Animation
Cille 2069,7.1,97,None,Animation
Ya Boy Kongming! Road to Summer Sonia,7.4,42,1h 59m,Animation
Dead Dead Demon's Dededede Destruction,7.1,150,2h,Animation
God with Three Eyes,5.7,26,1h 52m,Animation
Double Tuckerr,4.9,1.3K,2h,Animation
Kvitebjørn,5.9,78,1h 25m,Animation
Jin Ling Yu Mao,7.9,7,1h 37m,Animation
Tobias and the Arcane Merchant,8.8,47,2h 47m,Animation
Quo Vadis,6.4,515,1h 30m,Animation
Dikkie Dik en de Verdwenen Knuffel,7.2,132,1h 2m,Animation
A Few Moments of Cheers,7.3,53,1h 8m,Animation
Taisu Xilie,None,None,1h 40m,Animation
The Summer of Mermaid,7.6,107,None,Animation
Kuramerukagari,5.8,89,1h 1m,Animation
The Formula for Water,4.6,37,1h 26m,Animation
Captain Avispa,5.7,181,1h 36m,Animation
Ganbatte Ikimasshoi,5.2,14,1h 35m,Animation
Peppa Pig: Peppa's Adventures Around the World,8.0,8,None,Animation
PAPmusic - Animation for Fashion,1.0,169,1h 25m,Animation
The Umbrella Fairy,5.7,61,1h 35m,Animation
Le parfum d'Irak,8.0,52,1h 35m,Animation
Memory Hotel,None,None,1h 40m,Animation
Piril: Sayilarin Gizemi,8.9,68,None,Animation
