Movie_Title,Rating,Vote_Count,Runtime,Genre
A Complete Unknown,7.3,92K,2h 21m,Biography
I'm Still Here,8.2,113K,2h 17m,Biography
Better Man,7.6,32K,2h 15m,Biography
The Apprentice,7.1,60K,2h 2m,Biography
Saturday Night,6.9,33K,1h 49m,Biography
Queer,6.4,24K,2h 17m,Biography
Maria,6.4,21K,2h 4m,Biography
Queen of the Ring,6.3,2.1K,2h 9m,Biography
William Tell,5.7,3.1K,2h 14m,Biography
Ordinary Angels,7.4,16K,1h 58m,Biography
Nr. 24,7.5,16K,1h 51m,Biography
The Bibi Files,7.5,1.3K,1h 55m,Biography
Young Woman and the Sea,7.5,18K,2h 9m,Biography
Back to Black,6.3,27K,2h 2m,Biography
The Fire Inside,6.7,3K,1h 49m,Biography
Piece by Piece,6.9,6K,1h 33m,Biography
Reagan,6.1,12K,2h 21m,Biography
The Beach Boys,7.1,2.2K,1h 53m,Biography
Unfrosted,5.5,35K,1h 37m,Biography
Joy,7.1,9.9K,1h 55m,Biography
Bob Marley: One Love,6.2,35K,1h 47m,Biography
Pavements,7.2,337,2h 8m,Biography
Amaran,8.1,20K,2h 47m,Biography
Harbin,6.2,951,1h 48m,Biography
Boléro,6.6,883,2h,Biography
Cabrini,7.3,9.1K,2h 22m,Biography
Scoop,6.5,21K,1h 42m,Biography
The Remarkable Life of Ibelin,8.2,13K,1h 43m,Biography
Saint-Exupéry,5.4,500,1h 38m,Biography
Bonhoeffer: Pastor. Spy. Assassin.,6.2,3.9K,2h 13m,Biography
The Great Lillian Hall,7.3,2.1K,1h 50m,Biography
El 47,7.2,3.6K,1h 50m,Biography
Winner,6.5,2.7K,1h 43m,Biography
Being Maria,6.1,768,1h 40m,Biography
Chandu Champion,7.8,34K,2h 22m,Biography
One to One: John & Yoko,7.3,603,1h 41m,Biography
Monsieur Aznavour,7.3,2.8K,2h 13m,Biography
Maharaj,6.5,15K,2h 11m,Biography
Super/Man: The Christopher Reeve Story,8.0,9.6K,1h 44m,Biography
Faith of Angels,5.9,282,1h 38m,Biography
Goebbels and the Führer,6.7,2.6K,2h 15m,Biography
Music by John Williams,8.2,5K,1h 45m,Biography
Liza: A Truly Terrific Absolutely True Story,7.6,453,1h 44m,Biography
Rob Peace,6.5,2.2K,2h,Biography
"From Hilde, with Love",6.9,1.1K,2h 5m,Biography
Riefenstahl,7.1,805,1h 55m,Biography
Marco,6.8,1.4K,1h 41m,Biography
La casa,6.9,979,1h 23m,Biography
Elton John: Never Too Late,6.5,2K,1h 42m,Biography
Bir Cumhuriyet Sarkisi,7.4,1.3K,2h 8m,Biography
Drazen,6.6,1.6K,1h 40m,Biography
Amar Singh Chamkila,7.8,16K,2h 25m,Biography
Avicii - I'm Tim,7.7,7.4K,1h 35m,Biography
The Flood,6.4,349,1h 41m,Biography
Jim Henson: Idea Man,7.7,3.9K,1h 51m,Biography
Shirley,6.2,3.4K,1h 57m,Biography
Hayatla Baris,6.3,405,2h 5m,Biography
Ernest Cole: Lost and Found,7.3,398,1h 45m,Biography
Luther: Never Too Much,8.1,906,1h 41m,Biography
Biggest Heist Ever,6.1,1.6K,1h 25m,Biography
The Divine Sarah Bernhardt,6.4,341,1h 38m,Biography
Srikanth,7.4,14K,2h 14m,Biography
Maidaan,7.9,23K,3h 1m,Biography
Race for Glory: Audi vs. Lancia,5.8,5K,1h 49m,Biography
Midas Man,6.4,1.7K,1h 52m,Biography
Audrey's Children,7.1,430,1h 50m,Biography
Sube a mi Nube,6.1,42,1h 50m,Biography
"Disco, Ibiza, Locomia",6.0,1.6K,1h 44m,Biography
Papa,7.5,351,2h 11m,Biography
The Great Ambition,7.1,865,2h 3m,Biography
The Ballad of Davy Crockett,4.6,257,1h 36m,Biography
Quisling: The Final Days,7.1,1.3K,2h 26m,Biography
Federer: Twelve Final Days,7.3,4.2K,1h 28m,Biography
The Firing Squad,5.1,5.1K,1h 33m,Biography
