Movie_Title,Rating,Vote_Count,Runtime,Genre
The Unholy Trinity,6.1,448,1h 35m,crime
The Beekeeper,6.3,162K,1h 45m,crime
The Order,6.8,49K,1h 56m,crime
Longlegs,6.6,193K,1h 41m,crime
Carry-On,6.5,172K,1h 59m,crime
Trap,5.8,145K,1h 45m,crime
Freaky Tales,6.2,7.2K,1h 47m,crime
Juror #2,7.0,104K,1h 54m,crime
Wolfs,6.5,88K,1h 48m,crime
Rebel Ridge,6.8,91K,2h 11m,crime
MaXXXine,6.2,74K,1h 43m,crime
The Seed of the Sacred Fig,7.6,15K,2h 47m,crime
Despicable Me 4,6.2,68K,1h 34m,crime
Bad Boys: Ride or Die,6.5,102K,1h 55m,crime
Love Lies Bleeding,6.6,59K,1h 44m,crime
Absolution,5.2,8.9K,1h 52m,crime
Lucky Baskhar,8.0,34K,2h 28m,crime
Maharaja,8.4,70K,2h 21m,crime
The Crow,4.7,37K,1h 51m,crime
Emilia Pérez,5.4,91K,2h 12m,crime
The Instigators,6.2,39K,1h 41m,crime
Monkey Man,6.8,94K,2h 1m,crime
Riff Raff,5.7,3.9K,1h 43m,crime
The Shadow Strays,6.5,9.6K,2h 24m,crime
Beverly Hills Cop: Axel F,6.4,82K,1h 58m,crime
Old Guy,5.2,3K,1h 34m,crime
The Girl with the Needle,7.5,15K,2h 3m,crime
Barron's Cove,6.1,156,1h 56m,crime
Greedy People,6.2,13K,1h 52m,crime
Sleeping Dogs,6.2,22K,1h 50m,crime
Uninvited,5.7,311,1h 33m,crime
Lift,5.5,50K,1h 47m,crime
Twilight of the Warriors: Walled In,7.0,10K,2h 6m,crime
Pushpa: The Rule - Part 2,6.1,58K,3h 21m,crime
Misericordia,6.8,2.5K,1h 44m,crime
Armor,3.6,4.5K,1h 29m,crime
The Silent Hour,6.1,8.3K,1h 39m,crime
Beating Hearts,7.0,5.9K,2h 46m,crime
Brothers,5.4,14K,1h 29m,crime
Trigger Warning,4.6,20K,1h 46m,crime
Dead Mail,6.0,2K,1h 46m,crime
Pinnil Oral,7.4,412,2h 7m,crime
Sons,6.4,2.2K,1h 40m,crime
Lost on a Mountain in Maine,6.1,1.5K,1h 38m,crime
Force of Nature: The Dry 2,5.8,7.5K,2h,crime
Marco,6.8,22K,2h 25m,crime
Do Patti,6.4,69K,2h 6m,crime
Trouble,6.2,7.1K,1h 38m,crime
Harbin,6.2,951,1h 48m,crime
Inside,7.0,305,1h 44m,crime
The Roundup: Punishment,6.6,5.6K,1h 49m,crime
My Fault,4.2,7.1K,2h,crime
Bougainvillea,6.4,3.4K,2h 18m,crime
Quotation Gang Part 1,8.7,26,1h 58m,crime
Sector 36,7.1,26K,2h 3m,crime
The Thicket,5.8,3.5K,1h 48m,crime
Killer Heat,5.6,14K,1h 35m,crime
Boneyard,4.1,5.2K,1h 36m,crime
Damaged,4.7,7.6K,1h 37m,crime
Anweshippin Kandethum,7.4,11K,2h 22m,crime
Toofan,7.3,8.7K,2h 25m,crime
Officer Black Belt,6.9,8.7K,1h 48m,crime
Santosh,7.1,2.4K,2h 8m,crime
Una ballena,5.6,149,1h 48m,crime
Lover Stalker Killer,7.0,14K,1h 30m,crime
Saripodhaa Sanivaaram,7.0,10K,2h 46m,crime
Boundless,5.6,2.1K,2h 1m,crime
In Her Place,6.2,6.5K,1h 36m,crime
The Shameless,5.9,315,1h 54m,crime
The Quiet Ones,6.1,1K,1h 50m,crime
Singham Again,4.6,75K,2h 24m,crime
Justice,6.3,4.1K,1h 53m,crime
Lake George,6.5,1.5K,1h 58m,crime
The Kingdom,6.9,1.1K,1h 52m,crime
The Menendez Brothers,7.0,9.7K,1h 59m,crime
Kill the Jockey,6.4,1.9K,1h 36m,crime
Golam,7.2,6K,2h,crime
Long Gone Heroes,5.2,1.3K,1h 41m,crime
Code 8: Part II,5.7,16K,1h 40m,crime
Maharaj,6.5,15K,2h 11m,crime
Dead Sea,5.2,5.5K,1h 28m,crime
Colors of Evil: Red,6.4,8.7K,1h 51m,crime
Blackwater Lane,4.6,2.3K,1h 48m,crime
Sikandar Ka Muqaddar,5.9,25K,2h 22m,crime
How to Make a Killing,6.5,1.4K,1h 49m,crime
Marmalade,6.3,3.8K,1h 39m,crime
Protein,6.6,73,1h 40m,crime
The Sabarmati Report,6.4,25K,2h 7m,crime
Baby John,5.1,17K,2h 39m,crime
5lbs of Pressure,5.2,1.7K,1h 51m,crime
Detained,4.9,1.8K,1h 37m,crime
Badland Hunters,5.9,13K,1h 47m,crime
Drugstore June,5.4,1.8K,1h 31m,crime
Thalavan,7.2,5K,2h 11m,crime
Jigra,6.0,24K,2h 33m,crime
Depravity,4.3,1.1K,1h 57m,crime
Viduthalai Part 2,7.8,17K,2h 50m,crime
Duchess,4.6,1.6K,1h 54m,crime
She's Got No Name,6.1,123,1h 36m,crime
The Trainer,7.1,64,1h 35m,crime
Maldoror,6.8,971,2h 35m,crime
Vettaiyan,6.9,40K,2h 43m,crime
Raayan,6.5,11K,2h 25m,crime
Strictly Confidential,2.8,876,1h 34m,crime
Le Mohican,6.9,222,1h 27m,crime
Hitpig,5.1,1.1K,1h 26m,crime
Laws of Man,5.4,1.4K,1h 38m,crime
To a Land Unknown,7.3,586,1h 45m,crime
City Hunter,6.3,5.7K,1h 42m,crime
The Courier,6.0,4.6K,1h 41m,crime
Hijack 1971,6.8,3.4K,1h 40m,crime
The Soul Eater,5.8,3K,1h 48m,crime
Bagheera,6.7,7.5K,2h 38m,crime
Guns & Moses,8.0,61,1h 34m,crime
The Calendar Killer,5.4,4.4K,1h 37m,crime
Two to One,6.1,823,1h 56m,crime
King Ivory,7.1,76,2h 10m,crime
Operation Raavan,7.7,1.2K,2h 27m,crime
Mani nude,6.7,57,1h 24m,crime
Megamind vs. The Doom Syndicate,2.5,5.7K,1h 23m,crime
A Place Called Silence,6.5,1.3K,1h 59m,crime
Pani,6.9,3.3K,2h 23m,crime
Taxali Gate,6.7,163,1h 35m,crime
Ulajh,6.0,24K,2h 30m,crime
Cult Killer,4.8,2.9K,1h 45m,crime
Biggest Heist Ever,6.1,1.6K,1h 25m,crime
Bhakshak,7.2,7.2K,2h 14m,crime
Reputation,9.1,11,1h 23m,crime
Darkness of Man,4.7,3.3K,1h 49m,crime
Valley of the Shadow of Death,6.5,61,1h 24m,crime
Saindhav,5.0,1.6K,2h 18m,crime
Abraham Ozler,6.6,4.3K,2h 23m,crime
The Clean Up Crew,4.2,1.3K,1h 35m,crime
PT Sir,6.8,1.8K,2h 10m,crime
Siren,6.4,3K,2h 34m,crime
Auron Mein Kahan Dum Tha,6.4,41K,2h 30m,crime
Bloodline Killer,4.2,5K,1h 45m,crime
What Jennifer Did,6.1,12K,1h 27m,crime
The Thundermans Return,5.0,1.9K,1h 10m,crime
Chapter 51,None,None,2h,crime
Tillu Square,6.6,3.5K,2h 17m,crime
Savi,6.1,35K,2h 6m,crime
Phir Aayi Hasseen Dillruba,5.8,6.9K,2h 12m,crime
Revolver,5.4,919,1h 54m,crime
Papa,7.5,351,2h 11m,crime
Fluxx,6.0,123,1h 40m,crime
Bhaje Vaayu Vegam,6.1,769,2h 16m,crime
Vina: Before 7 Days,5.4,608,1h 40m,crime
Ferry 2,5.6,3.9K,1h 34m,crime
They Called Him Mostly Harmless,5.9,3.3K,1h 29m,crime
Seeds,5.0,224,1h 22m,crime
Green Bones,7.5,342,1h 36m,crime
Nunakuzhi,6.8,3.1K,2h 5m,crime
Shakhahaari,7.5,1.3K,2h 25m,crime
Go for Broke,5.7,287,1h 55m,crime
Serpent's Path,5.8,306,1h 52m,crime
Dirty Ice Cream,4.2,134,47m,crime
